name,team,salary_2024,signing_status,games,games_start,minutes,points,field_goals_made,field_goals_attempted,field_goal_pct,two_pointers_made,two_pointers_attempted,two_pointer_pct,three_pointers_made,three_pointers_attempted,three_pointer_pct,free_throws_made,free_throws_attempted,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,fouls
Jordan Horston,Storm,69663,--,39,14,871,266,111,225,0.493,98,173,0.5660000000000001,13,52,0.25,31,43,0.721,47,121,168,69,66,50,26,73
Lindsay Allen,Sky,90000,UFA,40,28,950,264,104,223,0.466,90,175,0.514,14,48,0.292,42,52,0.8079999999999999,13,67,80,157,64,32,7,67
Aaliyah Edwards,Mystics,73439,Rookie,34,17,741,258,103,210,0.49,103,203,0.507,0,7,0,52,80,0.65,48,143,191,48,50,25,27,91
Maddy Siegrist,Wings,75792,--,27,13,644,255,106,210,0.505,96,173,0.555,10,37,0.27,33,43,0.767,43,47,90,27,15,10,10,33
Karlie Samuelson,Mystics,125000,UFA,29,19,711,243,79,193,0.409,30,70,0.429,49,123,0.398,36,39,0.923,15,59,74,62,25,27,1,48
Alysha Clark,Aces,110000,UFA,40,18,972,240,85,192,0.4429999999999999,38,66,0.5760000000000001,47,126,0.373,23,28,0.821,21,124,145,70,55,33,11,107
Isabelle Harrison,Sky,160000,UFA,36,5,587,234,95,238,0.399,92,220,0.418,3,18,0.16699999999999998,41,50,0.82,38,103,141,27,39,20,12,47
Chelsea Gray,Aces,196267,UFA,27,25,702,233,84,206,0.408,58,129,0.45,26,77,0.33799999999999997,39,48,0.813,5,74,79,132,64,34,19,37
Cheyenne Parker-Tyus,Dream,200000,UFA,25,11,492,231,83,187,0.444,80,173,0.462,3,14,0.214,62,70,0.8859999999999999,31,90,121,37,52,21,9,60
Naz Hillmon,Dream,71124,Rookie,40,19,868,229,90,163,0.552,89,160,0.556,1,3,0.33299999999999996,48,63,0.762,64,129,193,52,38,28,11,54
Aari McDonald,Sparks,89302,Rookie,26,10,568,226,77,191,0.403,48,100,0.48,29,91,0.319,43,51,0.843,12,40,52,96,48,23,6,52
Michaela Onyenwere,Sky,85690,Rookie,34,18,636,226,88,212,0.415,63,144,0.43799999999999994,25,68,0.368,25,41,0.61,19,43,62,33,43,19,12,68
Kalani Brown,Wings,125000,UFA,39,2,516,223,92,158,0.5820000000000001,92,155,0.594,0,3,0,39,59,0.6609999999999999,43,76,119,41,48,7,22,63
Kayla Thornton,Liberty,110000,--,40,11,809,221,77,203,0.379,32,77,0.416,45,126,0.35700000000000004,22,26,0.846,39,64,103,27,23,29,9,56
Brittney Sykes,Mystics,200000,UFA,18,18,419,220,81,200,0.405,65,141,0.461,16,59,0.271,42,56,0.75,11,62,73,55,40,16,7,26
Rae Burrell,Sparks,125000,UFA,37,7,579,220,59,163,0.362,35,91,0.385,24,72,0.33299999999999996,78,100,0.78,21,47,68,42,37,29,11,59
Jacy Sheldon,Wings,73439,Rookie,40,26,931,217,81,210,0.386,51,113,0.451,30,97,0.309,25,27,0.926,27,55,82,99,63,23,12,101
Jordin Canada,Dream,185000,UFA,20,18,624,211,69,177,0.39,53,120,0.442,16,57,0.281,57,73,0.7809999999999999,12,57,69,116,42,32,5,52
Rachel Banham,Sun,95000,UFA,37,9,586,210,71,202,0.35100000000000003,19,60,0.317,52,142,0.366,16,20,0.8,7,46,53,40,20,14,7,58
Sami Whitcomb,Storm,140000,UFA,40,3,611,200,72,208,0.34600000000000003,25,47,0.532,47,161,0.292,9,11,0.818,15,59,74,64,40,30,9,56
Jade Melbourne,Mystics,64154,--,37,0,525,199,72,166,0.434,52,110,0.473,20,56,0.35700000000000004,35,49,0.7140000000000001,13,42,55,59,62,24,5,54
Courtney Vandersloot,Liberty,194670,UFA,31,31,692,197,81,182,0.445,63,115,0.5479999999999999,18,67,0.26899999999999996,17,31,0.5479999999999999,13,68,81,149,56,25,15,53
Emily Engstler,Mystics,64154,UFA,32,3,464,197,76,154,0.494,49,97,0.505,27,57,0.474,18,22,0.818,44,84,128,47,22,19,24,49
Natisha Hiedeman,Lynx,120000,RFA,40,0,607,194,73,192,0.38,50,110,0.455,23,82,0.28,25,34,0.735,15,47,62,95,44,32,6,49
Li Yueru,Sparks,64767,--,38,2,546,193,68,147,0.463,64,132,0.485,4,15,0.267,53,59,0.898,55,85,140,22,33,12,9,80
Azurá Stevens,Sparks,215000,UFA,20,19,493,192,71,178,0.399,43,98,0.439,28,80,0.35,22,27,0.815,20,120,140,38,36,17,18,39
Lexie Hull,Fever,77669,Rookie,34,11,671,186,60,136,0.441,27,66,0.409,33,70,0.471,33,41,0.805,33,51,84,36,29,22,11,85
Cecilia Zandalasini,Lynx,64154,SuspCE,40,0,487,183,67,148,0.453,36,78,0.462,31,70,0.4429999999999999,18,29,0.621,5,41,46,43,31,15,9,55
Sevgi Uzun,Wings,64154,Rookie,40,19,820,175,68,199,0.342,48,115,0.417,20,84,0.238,19,23,0.826,9,56,65,119,73,37,11,60
Dorka Juhász,Lynx,66597,--,34,7,547,162,69,144,0.479,58,110,0.527,11,34,0.324,13,20,0.65,32,97,129,36,21,15,13,39
Katie Lou Samuelson,Fever,175000,UFA,37,15,674,159,51,146,0.349,18,46,0.391,33,100,0.33,24,25,0.96,17,68,85,51,18,12,9,53
Haley Jones,Dream,72727,--,40,24,712,155,58,146,0.397,52,118,0.441,6,28,0.214,33,47,0.7020000000000001,10,78,88,84,68,14,11,80
Natasha Mack,Mercury,64154,UFA,40,11,619,153,71,124,0.573,71,121,0.5870000000000001,0,3,0,11,19,0.579,60,139,199,44,28,27,47,56
Aerial Powers,Dream,155000,UFA,17,2,304,146,49,138,0.355,35,102,0.34299999999999997,14,36,0.389,34,43,0.7909999999999999,15,41,56,24,18,16,4,35
Mercedes Russell,Storm,160000,RFA,37,6,583,145,62,120,0.517,62,120,0.517,0,0,NA,21,33,0.636,26,84,110,30,26,22,9,43
Diamond DeShields,Sky,100000,UFA,32,10,441,143,56,161,0.348,47,109,0.431,9,52,0.173,22,36,0.611,7,39,46,43,29,20,8,52
